Program Name,Schedule Name,Schedule Type,Source,Start Time,Duration,End Time
7 - History of RWC 2007 & 2011,SCTE35,EVENT,SCTE35,12:43.0,00:00.0,12:43.0
7 - History of RWC 2007 & 2011,Promo-14 -30s.mp4,FILE,D:\Promos\Promo-14 -30s.mp4,13:43.0,00:30.0,14:13.1
7 - History of RWC 2007 & 2011,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,14:13.1,00:15.0,14:28.1
7 - History of RWC 2007 & 2011,Promo-15 -15s.mp4,FILE,D:\Promos\Promo-15 -15s.mp4,14:28.1,00:15.0,14:43.1
7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,14:43.1,00:05.0,14:48.1
7 - History of RWC 2007 & 2011,7 - History of RWC 2007 & 2011.mp4,FILE,D:\RugbyWC\7 - History of RWC 2007 & 2011.mp4,14:48.1,13:14.0,28:02.1
7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,28:02.1,00:05.0,28:07.1
7 - History of RWC 2007 & 2011,Promo-17-60s.mp4,FILE,D:\Promos\Promo-17-60s.mp4,28:07.1,01:00.0,29:07.2
7 - History of RWC 2007 & 2011,SCTE35,EVENT,SCTE35,28:07.1,00:00.0,28:07.1
7 - History of RWC 2007 & 2011,Promo-8 -30s.mp4,FILE,D:\Promos\Promo-8 -30s.mp4,29:07.2,00:30.0,29:37.2
7 - History of RWC 2007 & 2011,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,29:37.2,00:15.0,29:52.2
7 - History of RWC 2007 & 2011,Promo-3 -15s.mp4,FILE,D:\Promos\Promo-3 -15s.mp4,29:52.2,00:15.0,30:07.3
7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,30:07.3,00:05.0,30:12.3
7 - History of RWC 2007 & 2011,7 - History of RWC 2007 & 2011.mp4,FILE,D:\RugbyWC\7 - History of RWC 2007 & 2011.mp4,30:12.3,14:00.0,44:12.3
7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,44:12.3,00:05.0,44:17.3
7 - History of RWC 2007 & 2011,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,44:17.3,00:15.0,44:32.3
7 - History of RWC 2007 & 2011,SCTE35,EVENT,SCTE35,44:17.3,00:00.0,44:17.3
7 - History of RWC 2007 & 2011,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,44:32.3,00:15.0,44:47.3
7 - History of RWC 2007 & 2011,Promo-4 -30s.mp4,FILE,D:\Promos\Promo-4 -30s.mp4,44:47.3,00:30.0,45:17.4
7 - History of RWC 2007 & 2011,Promo-12 -30s.mp4,FILE,D:\Promos\Promo-12 -30s.mp4,45:17.4,00:30.0,45:47.4
7 - History of RWC 2007 & 2011,Promo-14 -30s.mp4,FILE,D:\Promos\Promo-14 -30s.mp4,45:47.4,00:30.0,46:17.4
7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,46:17.4,00:05.0,46:22.4
7 - History of RWC 2007 & 2011,7 - History of RWC 2007 & 2011.mp4,FILE,D:\RugbyWC\7 - History of RWC 2007 & 2011.mp4,46:22.4,11:57.3,58:19.8
7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,58:19.8,00:05.0,58:24.8
7 - History of RWC 2007 & 2011,Promo-13 -60s.mp4,FILE,D:\Promos\Promo-13 -60s.mp4,58:24.8,01:00.0,59:24.8
7 - History of RWC 2007 & 2011,SCTE35,EVENT,SCTE35,58:24.8,00:00.0,58:24.8
7 - History of RWC 2007 & 2011,Promo-8 -30s.mp4,FILE,D:\Promos\Promo-8 -30s.mp4,59:24.8,00:30.0,59:54.8
7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,59:54.8,00:05.0,59:59.8
8 - RWC 2015 Classic Match,8 - RWC 2015 Classic Match.mp4,FILE,D:\RugbyWC\8 - RWC 2015 Classic Match.mp4,59:59.8,16:04.0,16:03.8
8 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,16:03.8,00:05.0,16:08.8
8 - RWC 2015 Classic Match,Promo-5 -60s.mp4,FILE,D:\Promos\Promo-5 -60s.mp4,16:08.8,01:00.0,17:08.9
8 - RWC 2015 Classic Match,SCTE35,EVENT,SCTE35,16:08.8,00:00.0,16:08.8
8 - RWC 2015 Classic Match,Promo-15 -15s.mp4,FILE,D:\Promos\Promo-15 -15s.mp4,17:08.9,00:15.0,17:23.9
8 - RWC 2015 Classic Match,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,17:23.9,00:15.0,17:38.9
8 - RWC 2015 Classic Match,Promo-12 -30s.mp4,FILE,D:\Promos\Promo-12 -30s.mp4,17:38.9,00:30.0,18:09.0
8 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,18:09.0,00:05.0,18:14.0
8 - RWC 2015 Classic Match,8 - RWC 2015 Classic Match.mp4,FILE,D:\RugbyWC\8 - RWC 2015 Classic Match.mp4,18:14.0,09:57.0,28:11.0
8 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,28:11.0,00:05.0,28:16.0
8 - RWC 2015 Classic Match,Promo-2 -30s.mp4,FILE,D:\Promos\Promo-2 -30s.mp4,28:16.0,00:30.0,28:46.0
8 - RWC 2015 Classic Match,SCTE35,EVENT,SCTE35,28:16.0,00:00.0,28:16.0
8 - RWC 2015 Classic Match,Promo-17-60s.mp4,FILE,D:\Promos\Promo-17-60s.mp4,28:46.0,01:00.0,29:46.1
8 - RWC 2015 Classic Match,Promo-7 -15s.mp4,FILE,D:\Promos\Promo-7 -15s.mp4,29:46.1,00:08.9,29:55.0
8 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,29:55.0,00:05.0,30:00.0
9 - RWC 2015 Classic Match,9 - RWC 2015 Classic Match.mp4,FILE,D:\RugbyWC\9 - RWC 2015 Classic Match.mp4,30:00.0,10:01.0,40:01.0
9 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,40:01.0,00:05.0,40:06.0
9 - RWC 2015 Classic Match,Promo-7 -15s.mp4,FILE,D:\Promos\Promo-7 -15s.mp4,40:06.0,00:15.0,40:21.0
9 - RWC 2015 Classic Match,SCTE35,EVENT,SCTE35,40:06.0,00:00.0,40:06.0
9 - RWC 2015 Classic Match,Promo-3 -15s.mp4,FILE,D:\Promos\Promo-3 -15s.mp4,40:21.0,00:15.0,40:36.1
9 - RWC 2015 Classic Match,Promo-12 -30s.mp4,FILE,D:\Promos\Promo-12 -30s.mp4,40:36.1,00:30.0,41:06.1
9 - RWC 2015 Classic Match,Promo-10 -30s.mp4,FILE,D:\Promos\Promo-10 -30s.mp4,41:06.1,00:30.0,41:36.1
9 - RWC 2015 Classic Match,Promo-14 -30s.mp4,FILE,D:\Promos\Promo-14 -30s.mp4,41:36.1,00:30.0,42:06.2
9 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,42:06.2,00:05.0,42:11.2
9 - RWC 2015 Classic Match,9 - RWC 2015 Classic Match.mp4,FILE,D:\RugbyWC\9 - RWC 2015 Classic Match.mp4,42:11.2,16:01.1,58:12.3
9 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,58:12.3,00:05.0,58:17.3
9 - RWC 2015 Classic Match,Promo-6 -52s.mp4,FILE,D:\Promos\Promo-6 -52s.mp4,58:17.3,00:52.3,59:09.6
9 - RWC 2015 Classic Match,SCTE35,EVENT,SCTE35,58:17.3,00:00.0,58:17.3
9 - RWC 2015 Classic Match,Promo-8 -30s.mp4,FILE,D:\Promos\Promo-8 -30s.mp4,59:09.6,00:30.0,59:39.6
